date,temp,salt,rjy,yls_con
2022/5/3 22:00,6.032419038,31.85477461,6.017277631,1.394
2022/5/3 23:00,6.030134595,31.85476273,6.0101004,1.273
2022/5/4 0:00,6.038463558,31.85743937,5.996762048,1.212
2022/5/4 1:00,6.037365093,31.85152972,6.017079152,1.212
2022/5/4 2:00,6.03844438,31.85157574,6.023398027,1.212
2022/5/4 3:00,6.038673052,31.85161885,6.026446463,1.394
2022/5/4 4:00,6.038076378,31.85165582,6.027916927,1.333
2022/5/4 5:00,6.036409111,31.85167884,6.033419598,1.273
2022/5/4 6:00,6.03598689,31.85168395,6.033466308,1.273
2022/5/4 7:00,6.036777528,31.85167171,6.030263776,1.212
2022/5/4 8:00,6.037477011,31.8516458,6.02831065,1.273
2022/5/4 9:00,6.038608115,31.85161192,6.029039677,1.333
2022/5/4 10:00,6.040413978,31.85157728,6.028339645,1.212
2022/5/4 11:00,6.041306218,31.85155016,6.033260082,1.394
2022/5/4 12:00,6.041495875,31.85153981,6.033535146,1.394
2022/5/4 13:00,6.041551982,31.85155622,6.033710342,1.333
2022/5/4 14:00,6.042279504,31.85160994,6.026718452,1.394
2022/5/4 15:00,6.043169323,31.85171121,6.006105799,1.394
2022/5/4 16:00,6.042671656,31.85186817,6.013546044,1.394
2022/5/4 17:00,6.04242553,31.85208292,6.04333771,1.454
2022/5/4 18:00,6.043181104,31.85234471,6.048056208,1.394
2022/5/4 19:00,6.043444432,31.85262075,6.022131026,1.394
2022/5/4 20:00,6.043463189,31.85285221,6.002590578,1.394
2022/5/4 21:00,6.04349543,31.85299742,6.003731835,1.273
2022/5/4 22:00,6.042205266,31.85301489,6.002371288,1.394
2022/5/4 23:00,6.041930105,31.85303094,6.006566165,1.454
2022/5/5 0:00,6.057982695,31.88287007,6.016410972,1.273
2022/5/5 1:00,6.047216421,31.84832012,6.020026551,1.333
2022/5/5 2:00,6.047724476,31.84841496,6.046634744,1.333
2022/5/5 3:00,6.047680949,31.84850921,6.053554131,1.454
2022/5/5 4:00,6.046023159,31.84860055,6.047105544,1.394
2022/5/5 5:00,6.04546156,31.84868599,6.021933515,1.273
2022/5/5 6:00,6.045430911,31.84876425,6.023652841,1.454
2022/5/5 7:00,6.045253007,31.8488361,6.0206816,1.333
2022/5/5 8:00,6.045961159,31.84890416,6.018736562,1.273
2022/5/5 9:00,6.045757305,31.84897277,6.01878157,1.273
2022/5/5 10:00,6.049953314,31.84904805,6.018651748,1.212
2022/5/5 11:00,6.050903183,31.84913794,6.020245356,-1
2022/5/5 12:00,6.048171187,31.84925179,6.020014083,1.333
2022/5/5 13:00,6.047150969,31.84940063,6.018261962,-1
2022/5/5 14:00,6.046631103,31.84959712,6.014569377,1.333
2022/5/5 15:00,6.047201724,31.84985383,6.004811894,1.394
2022/5/5 16:00,6.047616376,31.85018026,6.009832714,-1
2022/5/5 17:00,6.050453229,31.85057725,6.033519312,1.212
2022/5/5 18:00,6.054351966,31.85102733,6.034648896,1.273
2022/5/5 19:00,6.05475104,31.8514818,6.045612499,-1
2022/5/5 20:00,6.054762267,31.85185587,6.055017714,1.273
2022/5/5 21:00,6.054748773,31.85208621,6.052026051,1.333
2022/5/5 22:00,6.054826123,31.85213423,6.054813609,-1
2022/5/5 23:00,6.054695516,31.85217609,6.050766878,1.394
2022/5/6 0:00,6.063777592,31.86911919,6.021223803,1.273
2022/5/6 1:00,6.057146241,31.84973857,6.004205972,1.454
2022/5/6 2:00,6.055412117,31.84983415,6.027302196,1.333
2022/5/6 3:00,6.054944413,31.84992544,6.033774944,1.394
2022/5/6 4:00,6.053187569,31.85001285,6.032999392,1.394
2022/5/6 5:00,6.051966238,31.85010725,6.019769895,1.394
2022/5/6 6:00,6.051725649,31.85021521,6.024166969,1.212
2022/5/6 7:00,6.051542486,31.8503379,6.021796756,1.151
2022/5/6 8:00,6.051628132,31.85047431,6.015907047,1.273
2022/5/6 9:00,6.051912525,31.85062331,6.014214011,1.212
2022/5/6 10:00,6.053983383,31.8507856,6.009109508,1.273
2022/5/6 11:00,6.05448455,31.85096467,6.007234346,1.151
2022/5/6 12:00,6.052429471,31.85116659,6.005398664,1.212
2022/5/6 13:00,6.051357587,31.85140121,6.003357595,1.212
2022/5/6 14:00,6.050906462,31.85168268,6.005286709,1.151
2022/5/6 15:00,6.050818586,31.85202662,6.009691529,1.091
2022/5/6 16:00,6.050036274,31.85244596,6.006470427,1.151
2022/5/6 17:00,6.050349929,31.8529438,6.00582814,1.212
2022/5/6 18:00,6.051481231,31.85350141,6.007209435,1.212
2022/5/6 19:00,6.051305862,31.8540622,6.014892602,1.273
2022/5/6 20:00,6.050484687,31.85452495,6.021456626,1.151
2022/5/6 21:00,6.049543093,31.85480947,6.018431576,1.212
2022/5/6 22:00,6.049287462,31.85487068,6.024105706,1.333
2022/5/6 23:00,6.048298757,31.85491245,6.028572803,1.151
2022/5/7 0:00,6.058386294,31.86007287,6.053989993,1.333
2022/5/7 1:00,6.054880538,31.84936116,6.055263234,1.273
2022/5/7 2:00,6.059612146,31.84946645,6.029868117,1.273
2022/5/7 3:00,6.059233721,31.84955478,6.024078214,1.333
2022/5/7 4:00,6.058652656,31.84962637,6.017052706,1.151
2022/5/7 5:00,6.059058767,31.84969979,6.000744436,1.212
2022/5/7 6:00,6.058852902,31.84978551,6.003143765,1.212
2022/5/7 7:00,6.058574032,31.84988473,6.000062985,1.212
2022/5/7 8:00,6.05852434,31.84999302,5.994608297,1.273
2022/5/7 9:00,6.05876549,31.85010583,5.990114314,1.212
2022/5/7 10:00,6.059956004,31.85022098,5.985101108,1.212
2022/5/7 11:00,6.061148072,31.85034028,5.980296327,1.212
2022/5/7 12:00,6.060248325,31.85046947,5.976903959,1.273
2022/5/7 13:00,6.059243475,31.85062011,5.975595099,1.212
2022/5/7 14:00,6.058999058,31.85081049,5.974427722,1.212
2022/5/7 15:00,6.059334397,31.85106227,5.967308708,2.485
2022/5/7 16:00,6.058817435,31.85139562,5.966820836,1.333
2022/5/7 17:00,6.060595867,31.85182114,5.967814393,1.273
2022/5/7 18:00,6.062217947,31.85232668,5.961312933,1.333
2022/5/7 19:00,6.061480928,31.85285963,6.00152981,1.454
2022/5/7 20:00,6.060710407,31.85331786,6.031649548,1.273
2022/5/7 21:00,6.060176443,31.85361279,6.029082385,1.273
2022/5/7 22:00,6.059480542,31.85368551,6.042772602,1.273
2022/5/7 23:00,6.058689877,31.85373146,6.046380761,1.333
2022/5/8 0:00,6.068629042,31.863703,6.054715331,1.212
2022/5/8 1:00,6.062725363,31.84827259,6.050177243,1.273
2022/5/8 2:00,6.059776237,31.84836258,6.060397343,1.212
2022/5/8 3:00,6.059296956,31.84843012,6.063665185,1.212
2022/5/8 4:00,6.058866728,31.84847387,6.081954897,1.273
2022/5/8 5:00,6.058813279,31.84850927,6.131223532,1.212
2022/5/8 6:00,6.058334228,31.84854472,6.131400903,1.273
2022/5/8 7:00,6.057907372,31.84858015,6.128467155,1.273
2022/5/8 8:00,6.057570979,31.8486121,6.121602495,1.212
2022/5/8 9:00,6.057793142,31.84863722,6.112644848,1.212
2022/5/8 10:00,6.059799658,31.84865516,6.104264229,1.212
2022/5/8 11:00,6.060399667,31.84866993,6.08654461,1.273
2022/5/8 12:00,6.058858797,31.84868968,6.084504703,1.273
2022/5/8 13:00,6.05766663,31.84872857,6.081404375,1.273
2022/5/8 14:00,6.057029797,31.84880784,6.073407314,1.273
2022/5/8 15:00,6.054976339,31.84895246,6.057624627,1.273
2022/5/8 16:00,6.053479379,31.84918623,6.061693533,1.273
2022/5/8 17:00,6.05105587,31.84952354,6.060472727,1.273
2022/5/8 18:00,6.049760542,31.84995596,6.053138117,1.273
2022/5/8 19:00,6.050008629,31.85043446,6.066998828,1.333
2022/5/8 20:00,6.049441316,31.85085969,6.082139881,1.454
2022/5/8 21:00,6.04906572,31.85114683,6.080413286,1.394
2022/5/8 22:00,6.049447212,31.85122894,6.102972094,1.454
2022/5/8 23:00,6.048526596,31.85129072,6.098632225,1.394
2022/5/9 0:00,6.066086621,31.90883678,6.091763614,1.454
2022/5/9 1:00,6.046234067,31.84799914,6.091386113,1.454
2022/5/9 2:00,6.046365818,31.84808927,6.089201115,1.515
2022/5/9 3:00,6.046008853,31.84816565,6.091924689,1.454
2022/5/9 4:00,6.044793015,31.8482267,6.081011885,1.454
2022/5/9 5:00,6.044412843,31.84828714,6.041550823,1.515
2022/5/9 6:00,6.04405535,31.84835475,6.03643433,1.576
2022/5/9 7:00,6.044173445,31.84842912,6.035582835,1.454
2022/5/9 8:00,6.045047573,31.84850624,6.032255904,1.394
2022/5/9 9:00,6.045001125,31.84858196,6.025260692,1.576
2022/5/9 10:00,6.051807664,31.84865469,6.018719543,1.636
2022/5/9 11:00,6.052914865,31.84872694,6.008824782,1.636
2022/5/9 12:00,6.047536272,31.84880552,6.006742269,1.394
2022/5/9 13:00,6.044968064,31.84890283,6.004040165,1.576
2022/5/9 14:00,6.044981945,31.84903724,6.02633405,1.454
2022/5/9 15:00,6.045822389,31.84923018,6.102500139,1.454
2022/5/9 16:00,6.045889899,31.84950179,6.072852255,1.515
2022/5/9 17:00,6.04621589,31.84986331,5.971269964,1.515
2022/5/9 18:00,6.048026544,31.85030495,5.965513559,1.394
2022/5/9 19:00,6.049478963,31.8507796,5.978100779,1.454
2022/5/9 20:00,6.049506188,31.85119447,5.987585913,1.515
2022/5/9 21:00,6.050249489,31.85146692,5.984462359,1.333
2022/5/9 22:00,6.051133162,31.85154462,5.997161658,1.454
2022/5/9 23:00,6.05112711,31.85160216,5.998480994,1.515
2022/5/10 0:00,6.085329976,31.99233803,5.993314958,1.394
2022/5/10 1:00,6.039058225,31.84810307,6.002172401,1.394
2022/5/10 2:00,6.035235164,31.84814844,6.006534695,-1
2022/5/10 3:00,6.035665384,31.84818835,6.009642452,1.394
2022/5/10 4:00,6.033628525,31.84822058,6.005892763,-1
2022/5/10 5:00,6.034329528,31.84825613,5.999885808,1.454
2022/5/10 6:00,6.034007147,31.84830099,5.99856344,1.394
2022/5/10 7:00,6.031884472,31.84835477,5.998124015,-1
2022/5/10 8:00,6.033892015,31.84841432,5.995459,1.333
2022/5/10 9:00,6.031564113,31.84847535,5.986934174,1.454
2022/5/10 10:00,6.046523869,31.8485344,5.981129579,-1
2022/5/10 11:00,6.048030594,31.84859017,5.967423761,1.576
2022/5/10 12:00,6.036373911,31.84864439,5.964389173,1.636
2022/5/10 13:00,6.031212539,31.84870193,5.961051509,-1
2022/5/10 14:00,6.031308593,31.84877036,5.948576914,1.576
2022/5/10 15:00,6.031443205,31.84885901,5.915306133,1.576
2022/5/10 16:00,6.032123721,31.84897721,5.923459926,1.576
2022/5/10 17:00,6.031284199,31.84913116,5.95091075,1.697
2022/5/10 18:00,6.03538498,31.84931906,5.942122613,1.636
2022/5/10 19:00,6.040874133,31.84952444,5.958188444,1.515
2022/5/10 20:00,6.041837754,31.84971215,5.970658166,1.757
2022/5/10 21:00,6.043251958,31.84984882,5.969262475,1.576
2022/5/10 22:00,6.046218941,31.84990299,5.978428359,1.697
2022/5/10 23:00,6.047539993,31.84994436,5.971678457,1.636
2022/5/11 0:00,6.040425728,31.79629105,5.960390674,1.697
2022/5/11 1:00,6.057096452,31.84747117,5.959300112,1.757
2022/5/11 2:00,6.061163019,31.84754383,5.95128106,1.757
2022/5/11 3:00,6.061606971,31.84760113,5.952169754,1.636
2022/5/11 4:00,6.063575776,31.84764408,5.952302203,1.636
2022/5/11 5:00,6.063701336,31.84768605,5.955911152,1.636
2022/5/11 6:00,6.064084964,31.84773432,5.952922734,1.576
2022/5/11 7:00,6.064314669,31.84778879,5.95248239,1.454
2022/5/11 8:00,6.063263487,31.84784588,5.949421261,1.515
2022/5/11 9:00,6.063437849,31.84790131,5.94346241,1.454
2022/5/11 10:00,6.057822499,31.84795234,5.937830927,1.454
2022/5/11 11:00,6.056612103,31.84799891,5.927921164,1.576
2022/5/11 12:00,6.06102539,31.8480437,5.924963841,1.576
2022/5/11 13:00,6.063018927,31.84809344,5.92240822,1.454
2022/5/11 14:00,6.063760228,31.84815963,5.911371127,1.515
2022/5/11 15:00,6.06367514,31.84825661,5.884317238,1.454
2022/5/11 16:00,6.064426332,31.84839874,5.890915687,1.454
2022/5/11 17:00,6.063645469,31.8485961,5.91444633,1.454
2022/5/11 18:00,6.060854853,31.84884737,5.915282358,1.515
2022/5/11 19:00,6.059484315,31.8491305,5.916284816,1.454
2022/5/11 20:00,6.059809427,31.84939678,5.914318718,1.454
2022/5/11 21:00,6.05916077,31.84960268,5.915178959,1.394
2022/5/11 22:00,6.058070214,31.84970127,5.923795295,1.454
2022/5/11 23:00,6.057777091,31.84978401,5.926680148,1.394
2022/5/12 0:00,6.056433336,31.81801088,5.939582622,1.394
2022/5/12 1:00,6.064991396,31.84670939,5.949004745,1.394
2022/5/12 2:00,6.064384476,31.84682572,5.96939409,1.515
